,Contact Persons,Source,business_status,formatted_address,name,opening_hours,lat,lng
92,Clayton Bundschuh,https://smoothcomp.com/en/club/7774,OPERATIONAL,"12824 Anvil Way, Surrey, BC V3W 8E7, Canada",Gravity Brazilian Jiu-Jitsu,{'open_now': False},49.144267,-122.8678209
93,,https://smoothcomp.com/en/club/37093,OPERATIONAL,"2304 Lakeshore Rd W, Oakville, ON L6L 1H3, Canada",Aegis MMA,{'open_now': False},43.3978122,-79.7070491
94,,https://smoothcomp.com/en/club/37243,OPERATIONAL,"7500 ON-27 #25, Woodbridge, ON L4H 0J2, Canada","Gracie Woodbridge, Brazilian Jiu-Jitsu, Muay Thai & Self Defense Academy",{'open_now': False},43.7705868,-79.6219198
95,,https://smoothcomp.com/en/club/8603,OPERATIONAL,"814 Brunette Ave Unit B, Coquitlam, BC V3K 1C4, Canada",True North Jiu Jitsu Academy,{'open_now': False},49.2355755,-122.8742681
96,Liam Twinem,https://smoothcomp.com/en/club/49444,OPERATIONAL,"222 W 21st St, Norfolk, VA 23517, United States",Clayton Phillips Jiu Jitsu,{'open_now': False},36.868615,-76.28715
97,,https://smoothcomp.com/en/club/8192,CLOSED_PERMANENTLY,"11500 170 St NW, Edmonton, AB T5S 1J7, Canada",Legends Training Centre,,53.56474919999999,-113.6173791
98,Danny Fung,https://smoothcomp.com/en/club/9920,OPERATIONAL,"360 Bd Maloney O unité 3, Gatineau, QC J8P 7R5, Canada",Experience MMA & Fitness,{'open_now': False},45.4831896,-75.6619108
99,Tylor Nicholson,https://smoothcomp.com/en/club/8511,OPERATIONAL,"910 Sherwood Ave, Coquitlam, BC V3K 1A6, Canada",Titan Training Centre,{'open_now': False},49.2356625,-122.8721457
100,,https://smoothcomp.com/en/club/7352,OPERATIONAL,"Niagara Falls, NY 14304, United States",Jiu Jitsu For Life Team,,43.0897789,-79.000252
101,,https://smoothcomp.com/en/club/22067,OPERATIONAL,"75 Centennial Rd, Ajax, ON L1S 4H4, Canada",Ajax Budokan Judo Club,{'open_now': False},43.8394197,-79.0204524
102,Mike Martelle,https://smoothcomp.com/en/club/15257,OPERATIONAL,"550 Cataraqui Woods Dr, Kingston, ON K7P 2Y5, Canada",Grizzly Gym,{'open_now': False},44.2684889,-76.5635276
103,VICTOR RODRIGUEZ,https://smoothcomp.com/en/club/31337,,,,,,
104,Allan Clarke,https://smoothcomp.com/en/club/8016,OPERATIONAL,"5630 Tomken Rd Unit 4, Mississauga, ON L4W 2S4, Canada",Kombat Arts Training Academy,{'open_now': False},43.63732,-79.64860999999999
105,Steve Joncas,https://smoothcomp.com/en/club/37387,OPERATIONAL,"790 Lasalle Blvd, Greater Sudbury, ON P3A 4V4, Canada",Sudbury Brazilian Jiu-Jitsu,{'open_now': False},46.52222949999999,-80.9643493
